category,identifier,description,active,sourceLink
fashion,fashion/footwear/womens,Womens,FALSE,https://www.ethicalsuperstore.com/category/fashion/footwear/womens
fashion,fashion/footwear/slippers,Slippers,FALSE,https://www.ethicalsuperstore.com/category/fashion/footwear/slippers
home-and-garden,home-and-garden/living/decorative-accessories,Decorative accessories,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/living/decorative-accessories
home-and-garden,home-and-garden/living/home-furnishings,Home furnishings,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/living/home-furnishings
home-and-garden,home-and-garden/living/storage-baskets,Storage baskets,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/living/storage-baskets
home-and-garden,home-and-garden/living/lighting,Lighting,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/living/lighting
home-and-garden,home-and-garden/living/home-fragrance,Home fragrance,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/living/home-fragrance
home-and-garden,home-and-garden/living/books,Books,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/living/books
home-and-garden,home-and-garden/living/gifts,Gifts,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/living/gifts
home-and-garden,home-and-garden/living/cards-and-wrap,Cards and wrap,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/living/cards-and-wrap
home-and-garden,home-and-garden/garden-and-outdoor/garden-accessories,Garden accessories,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/garden-and-outdoor/garden-accessories
home-and-garden,home-and-garden/garden-and-outdoor/trees-plants-and-seeds,Trees plants and seeds,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/garden-and-outdoor/trees-plants-and-seeds
home-and-garden,home-and-garden/garden-and-outdoor/solar-garden-products,Solar garden products,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/garden-and-outdoor/solar-garden-products
home-and-garden,home-and-garden/garden-and-outdoor/wildlife,Wildlife,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/garden-and-outdoor/wildlife
home-and-garden,home-and-garden/garden-and-outdoor/outdoor-furniture,Outdoor furniture,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/garden-and-outdoor/outdoor-furniture
home-and-garden,home-and-garden/kitchen-and-dining/dining-and-entertaining,Dining and entertaining,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/kitchen-and-dining/dining-and-entertaining
home-and-garden,home-and-garden/kitchen-and-dining/cups-mugs-and-glasses,Cups mugs and glasses,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/kitchen-and-dining/cups-mugs-and-glasses
home-and-garden,home-and-garden/kitchen-and-dining/cookware-and-food-prep,Cookware and food prep,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/kitchen-and-dining/cookware-and-food-prep
home-and-garden,home-and-garden/kitchen-and-dining/eco-kettles,Eco kettles,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/kitchen-and-dining/eco-kettles
home-and-garden,home-and-garden/kitchen-and-dining/kitchen-accessories,Kitchen accessories,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/kitchen-and-dining/kitchen-accessories
home-and-garden,home-and-garden/kitchen-and-dining/picnicware-and-lunchboxes,Picnicware and lunchboxes,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/kitchen-and-dining/picnicware-and-lunchboxes
home-and-garden,home-and-garden/kitchen-and-dining/reusable-cups-and-bottles,Reusable cups and bottles,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/kitchen-and-dining/reusable-cups-and-bottles
home-and-garden,home-and-garden/kitchen-and-dining/home-composting,Home composting,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/kitchen-and-dining/home-composting
home-and-garden,home-and-garden/bed-and-bath/bedding-sets,Bedding sets,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/bed-and-bath/bedding-sets
home-and-garden,home-and-garden/bed-and-bath/duvet-covers-and-pillowcases,Duvet covers and pillowcases,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/bed-and-bath/duvet-covers-and-pillowcases
home-and-garden,home-and-garden/bed-and-bath/duvets-pillows-and-protectors,Duvets pillows and protectors,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/bed-and-bath/duvets-pillows-and-protectors
home-and-garden,home-and-garden/bed-and-bath/flat-sheets,Flat sheets,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/bed-and-bath/flat-sheets
home-and-garden,home-and-garden/bed-and-bath/throws-and-blankets,Throws and blankets,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/bed-and-bath/throws-and-blankets
home-and-garden,home-and-garden/bed-and-bath/bath-linen,Bath linen,FALSE,https://www.ethicalsuperstore.com/category/home-and-garden/bed-and-bath/bath-linen
beauty-health-and-wellbeing,beauty-health-and-wellbeing/bath-and-body/bath-and-shower,Bath and shower,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/bath-and-body/bath-and-shower
beauty-health-and-wellbeing,beauty-health-and-wellbeing/bath-and-body/body-lotion,Body lotion,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/bath-and-body/body-lotion
beauty-health-and-wellbeing,beauty-health-and-wellbeing/bath-and-body/soap,Soap,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/bath-and-body/soap
beauty-health-and-wellbeing,beauty-health-and-wellbeing/bath-and-body/hand-soap,Hand soap,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/bath-and-body/hand-soap
beauty-health-and-wellbeing,beauty-health-and-wellbeing/bath-and-body/hands-nails-and-feet,Hands nails and feet,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/bath-and-body/hands-nails-and-feet
beauty-health-and-wellbeing,beauty-health-and-wellbeing/bath-and-body/sun-care-and-tanning,Sun care and tanning,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/bath-and-body/sun-care-and-tanning
beauty-health-and-wellbeing,beauty-health-and-wellbeing/bath-and-body/bath-accessories,Bath accessories,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/bath-and-body/bath-accessories
beauty-health-and-wellbeing,beauty-health-and-wellbeing/bath-and-body/deodorant,Deodorant,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/bath-and-body/deodorant
beauty-health-and-wellbeing,beauty-health-and-wellbeing/skin-care/moisturiser,Moisturiser,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/skin-care/moisturiser
beauty-health-and-wellbeing,beauty-health-and-wellbeing/skin-care/cleanser-toner-and-facewash,Cleanser toner and facewash,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/skin-care/cleanser-toner-and-facewash
