providerKey,category,subcategory1,subcategory2,location,description,active
ethical-superstore,baby-child-and-toys,clothing,coats-and-jackets,/category/baby-child-and-toys/clothing/coats-and-jackets/,Coats and jackets,true
ethical-superstore,baby-child-and-toys,clothing,trousers,/category/baby-child-and-toys/clothing/trousers/,Trousers,true
ethical-superstore,baby-child-and-toys,clothing,dresses-and-skirts,/category/baby-child-and-toys/clothing/dresses-and-skirts/,Dresses and skirts,true
ethical-superstore,baby-child-and-toys,clothing,pyjamas-and-underwear,/category/baby-child-and-toys/clothing/pyjamas-and-underwear/,Pyjamas and underwear,true
ethical-superstore,baby-child-and-toys,clothing,accessories,/category/baby-child-and-toys/clothing/accessories/,Accessories,true
ethical-superstore,baby-child-and-toys,clothing,school-uniform,/category/baby-child-and-toys/clothing/school-uniform/,School uniform,true
ethical-superstore,baby-child-and-toys,feeding-and-nursing,,/category/baby-child-and-toys/feeding-and-nursing/,Feeding and nursing,true
ethical-superstore,baby-child-and-toys,nappies,eco-nappies,/category/baby-child-and-toys/nappies/eco-nappies/,Eco nappies,true
ethical-superstore,baby-child-and-toys,nappies,reusable-nappies,/category/baby-child-and-toys/nappies/reusable-nappies/,Reusable nappies,true
ethical-superstore,baby-child-and-toys,nappies,wipes-and-creams,/category/baby-child-and-toys/nappies/wipes-and-creams/,Wipes and creams,true
ethical-superstore,baby-child-and-toys,bodycare,bathtime,/category/baby-child-and-toys/bodycare/bathtime/,Bathtime,true
ethical-superstore,baby-child-and-toys,bodycare,baby-oil-and-lotion,/category/baby-child-and-toys/bodycare/baby-oil-and-lotion/,Baby oil and lotion,true
ethical-superstore,baby-child-and-toys,bodycare,dental-care,/category/baby-child-and-toys/bodycare/dental-care/,Dental care,true
ethical-superstore,baby-child-and-toys,baby-food,,/category/baby-child-and-toys/baby-food/,Baby food,true
ethical-superstore,baby-child-and-toys,toys,baby,/category/baby-child-and-toys/toys/baby/,Baby,true
ethical-superstore,baby-child-and-toys,toys,kids,/category/baby-child-and-toys/toys/kids/,Kids,true
